    10.20  37.15    1  0.50336E+07  0.14805E+05    9      0.97
    10.20  37.15   16  0.43754E+07  0.12869E+05   11     37.01
    10.20  37.05    4  0.42829E+07  0.12597E+05   15      0.26
    7.20  36.95    3  0.42513E+07  0.12504E+05   18      1.14
    6.60  37.05    2  0.43028E+07  0.12655E+05   21      0.90
    10.30  36.95    1  0.49243E+07  0.14483E+05   26      0.12
    3.90  36.95   46  0.44271E+07  0.13021E+05   34      4.77
    4.50  36.95    4  0.44503E+07  0.13089E+05   45      0.96
    4.70  36.95    1  0.45148E+07  0.13279E+05   50      0.55
    6.10  36.95  127  0.43956E+07  0.12928E+05   51     13.58
    6.90  36.95    2  0.40434E+07  0.11892E+05   52      1.48
    4.80  36.95    2  0.44396E+07  0.13058E+05   55      0.75
    7.80  36.95   45  0.43803E+07  0.12883E+05   58     11.07
    7.90  36.85    4  0.48161E+07  0.14165E+05   59      3.02
    3.60  36.85  104  0.43676E+07  0.12846E+05   61     12.62
    5.90  36.85    2  0.46524E+07  0.13683E+05   67      0.84
    10.40  36.85    2  0.44933E+07  0.13216E+05   70      0.19
    3.20  36.85    2  0.42958E+07  0.12635E+05   75      0.17
    10.40  36.85    2  0.43231E+07  0.12715E+05   81      2.06
    3.10  36.85   45  0.44051E+07  0.12956E+05   83      0.87
    5.10  36.75  300  0.43936E+07  0.12922E+05   87     31.49
    2.80  36.75    6  0.40465E+07  0.11901E+05   93      1.37
    5.20  36.75    6  0.40688E+07  0.11967E+05   96      1.57
    5.30  36.75    4  0.40916E+07  0.12034E+05   97      5.00
    1.60  36.55    3  0.38263E+07  0.11254E+05  109      1.15
    1.30  36.55    3  0.47443E+07  0.13954E+05  116      1.25
    1.00  36.55    1  0.56101E+07  0.16500E+05  119      0.70
    0.60  36.35    6  0.45605E+07  0.13413E+05  131      2.26
    0.50  36.25    2  0.38827E+07  0.11420E+05  135      0.79
    0.30  36.15    1  0.59760E+07  0.17576E+05  139      0.80
    0.10  36.05  203  0.43917E+07  0.12917E+05  142     97.65
    10.50  36.05    5  0.43535E+07  0.12805E+05  143     12.70
    -0.10  35.85   42  0.44029E+07  0.12950E+05  158     45.71
    -6.00  35.65    9  0.42297E+07  0.12440E+05  172      3.36
    -1.30  35.45    3  0.45532E+07  0.13392E+05  178      1.93
    -4.90  35.35    1  0.47274E+07  0.13904E+05  183      2.51
    -1.50  35.35   32  0.43902E+07  0.12912E+05  187     40.75
    -3.20  35.25   23  0.44376E+07  0.13052E+05  194     14.67
    -4.70  35.25    6  0.44552E+07  0.13103E+05  199      8.02
    -3.90  35.25   20  0.43059E+07  0.12664E+05  205     13.66
    -4.40  35.25    1  0.45650E+07  0.13426E+05  212      2.56
    -2.30  35.15    3  0.45017E+07  0.13240E+05  219    141.64
    11.60  33.15    4  0.47101E+07  0.13853E+05  289     21.55
    13.20  32.95   12  0.43785E+07  0.12878E+05  297      4.18
    12.10  32.95    1  0.51601E+07  0.15177E+05  299      4.61
    12.30  32.85    1  0.53321E+07  0.15683E+05  321      4.60
    13.00  32.85    4  0.44408E+07  0.13061E+05  323      4.18
    30.30  31.45 1074  0.43884E+07  0.12907E+05  481   7565.19
    32.20  31.35    6  0.44538E+07  0.13099E+05  503      0.27
    29.80  31.15    2  0.44885E+07  0.13201E+05  531      0.28
    12.70  45.45    2  0.46922E+07  0.13801E+05  761     93.97
    12.40  45.15    3  0.46639E+07  0.13717E+05  820     47.26
    12.40  45.15    4  0.42472E+07  0.12492E+05  829    116.60
    12.50  45.05  219  0.43882E+07  0.12907E+05  869    869.59
    15.90  43.55    2  0.50236E+07  0.14775E+05 1043     15.02
    10.20  43.65    1  0.59955E+07  0.17634E+05 1047     30.14
    16.40  43.25    3  0.50446E+07  0.14837E+05 1111     18.56
    17.30  43.05   64  0.44150E+07  0.12985E+05 1208     93.33
    19.40  41.85   38  0.43835E+07  0.12893E+05 1419    250.18
    19.40  41.75    3  0.46724E+07  0.13742E+05 1430      6.40
    12.20  41.75    5  0.45789E+07  0.13467E+05 1435     90.97
    19.40  41.65   10  0.45444E+07  0.13366E+05 1457     35.81
    19.40  41.65    1  0.45750E+07  0.13456E+05 1469      2.27
    19.40  41.55   18  0.44239E+07  0.13011E+05 1476      7.79
    19.40  41.45   19  0.44439E+07  0.13070E+05 1506      8.49
    13.80  41.15    2  0.34541E+07  0.10159E+05 1558     26.64
    19.40  41.05   46  0.44275E+07  0.13022E+05 1627     24.69
    13.90  41.05    1  0.49444E+07  0.14542E+05 1629     26.35
    13.90  40.95    1  0.59173E+07  0.17404E+05 1638      4.97
    19.30  40.85  102  0.43922E+07  0.12918E+05 1685     61.41
    23.90  40.75    8  0.45677E+07  0.13434E+05 1704     34.94
    26.00  40.75   30  0.44474E+07  0.13081E+05 1723    152.96
    19.30  40.65   54  0.44267E+07  0.13020E+05 1742     86.35
    22.70  40.45   88  0.43720E+07  0.12859E+05 1797     91.48
    14.90  40.45    1  0.45272E+07  0.13315E+05 1810     27.40
    26.90  38.85   18  0.43366E+07  0.12755E+05 2226     10.41
    26.70  38.65  113  0.43820E+07  0.12888E+05 2302     74.69
    27.20  37.95  105  0.43794E+07  0.12880E+05 2545     23.31
    27.10  37.55  143  0.44005E+07  0.12943E+05 2633    132.14
    15.10  37.35    2  0.45005E+07  0.13237E+05 2661     44.71
    27.40  37.25    5  0.47323E+07  0.13919E+05 2679     14.04
    28.00  36.95    1  0.51966E+07  0.15284E+05 2720      6.08
    30.60  36.75   32  0.43761E+07  0.12871E+05 2760     50.68
    30.90  36.75    1  0.48992E+07  0.14409E+05 2762     28.63
    31.20  36.75   13  0.43676E+07  0.12846E+05 2772     23.64
    35.90  36.75    1  0.65415E+07  0.19240E+05 2778      1.64
    34.70  36.75    1  0.56438E+07  0.16599E+05 2782      3.73
    28.60  36.75    3  0.43062E+07  0.12665E+05 2791      9.64
    34.60  36.75    4  0.42088E+07  0.12379E+05 2799      7.69
    34.80  36.75    1  0.60893E+07  0.17910E+05 2828     18.99
    34.90  36.65    1  0.52977E+07  0.15581E+05 2845     45.06
    31.60  36.65    1  0.54606E+07  0.16061E+05 2859      5.03
    28.70  36.65   20  0.43047E+07  0.12661E+05 2864     31.93
    -4.40  36.65    1  0.60855E+07  0.17899E+05 2872     28.73
    34.40  36.65    1  0.63593E+07  0.18704E+05 2877      3.87
    31.60  36.65    6  0.41200E+07  0.12118E+05 2882     15.45
    34.30  36.55    3  0.47323E+07  0.13918E+05 2890      7.13
    35.60  36.55   15  0.43675E+07  0.12846E+05 2894     50.84
